City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
koungheul,13.9833,-14.8,310.44,15,2,4.07,SN,1621776148
isiolo,0.3546,37.5822,302.01,42,47,4.14,KE,1621776151
fare,-16.7,-151.0167,300.48,70,4,6.45,PF,1621776152
san matias,-16.3667,-58.4,292.68,89,100,3.33,BO,1621776153
san juan,-31.5375,-68.5364,283.02,43,0,0.16,AR,1621776154
wamba,8.9333,8.6,304.76,57,77,1.21,NG,1621776157
oga,46.4631,10.347,285.2,95,100,2.72,IT,1621776158
san bartolome de tirajana,27.9248,-15.5733,291.66,66,40,8.4,ES,1621776159
samarinda,-0.5,117.15,296.72,92,99,0.87,ID,1621775885
sabha,27.0377,14.4283,313.76,6,0,2.52,LY,1621776162
tricase,39.9304,18.3553,297.79,69,40,7.02,IT,1621776163
maneadero,31.7167,-116.5667,284.51,65,0,2.6,MX,1621776164
kieta,-6.2167,155.6333,299.3,81,100,2.09,PG,1621776166
boundiali,9.5217,-6.4869,310.88,29,16,2.08,CI,1621776167
quatre cocos,-20.2078,57.7625,297.64,72,20,6.62,MU,1621776168
hamilton,39.1834,-84.5333,297.99,74,20,0.89,US,1621775957
pathein,16.7833,94.7333,300.3,83,100,6.09,MM,1621776171
san quintin,30.4833,-115.95,284.51,80,0,1.8,MX,1621776173
nanae,41.8833,140.6833,286.22,98,87,1.44,JP,1621776174
waingapu,-9.6567,120.2641,298.35,82,96,2.53,ID,1621776175
aksarka,66.5606,67.7975,289.77,40,100,7.38,RU,1621776177
landeck,47.1301,10.5636,287.56,76,61,1.22,AT,1621776178
rorvik,64.8621,11.2373,288.21,41,0,5.66,NO,1621776179
nadym,65.5333,72.5167,291.65,31,100,5.23,RU,1621776075
khandyga,62.6667,135.6,280.72,51,100,2.42,RU,1621776182
sidney,-33.8679,151.2073,289.1,92,75,0.89,AU,1621775886
touho,-20.7833,165.2333,293.76,75,0,3.29,NC,1621776186
lazaro cardenas,17.9583,-102.2,297.66,62,82,2.1,MX,1621776188
binzhou,37.3667,118.0167,290.76,51,100,4.7,CN,1621776189
anjad,22.0333,75.05,311.33,17,10,4.2,IN,1621776190
kogon,39.7228,64.5517,307.17,12,0,3.09,UZ,1621776191
aripuana,-9.1667,-60.6333,298.0,94,100,0.32,BR,1621776193
wilmington,34.2257,-77.9447,298.13,63,1,4.12,US,1621776099
liuhe,42.2401,125.7172,281.97,97,76,2.9,CN,1621776195
karratha,-20.7377,116.8463,296.95,49,35,5.35,AU,1621776196
lerwick,60.1545,-1.1494,283.15,65,100,3.51,GB,1621776198
bonavista,48.6499,-53.1147,284.15,92,100,9.94,CA,1621776199
moron,-34.6534,-58.6198,285.91,85,91,3.13,AR,1621775906
nizhniy baskunchak,48.2198,46.8311,310.09,13,0,11.02,RU,1621776201
mnogovershinnyy,53.9353,139.9242,273.4,92,100,2.32,RU,1621776203
geraldton,-28.7667,114.6,290.44,59,75,9.16,AU,1621776204
rocha,-34.4833,-54.3333,286.33,87,79,4.81,UY,1621776205
san felipe,10.3399,-68.7425,300.36,73,100,0.69,VE,1621776206
shimoda,34.6667,138.95,292.68,85,100,4.37,JP,1621776208
obihiro,42.9172,143.2044,284.98,95,100,1.22,JP,1621776209
shelburne,44.0787,-80.2041,296.3,100,89,6.29,CA,1621776172
henties bay,-22.116,14.2845,303.63,31,0,2.97,NA,1621776212
vanavara,60.34,102.2797,283.81,47,100,1.65,RU,1621776213
ilam,26.9167,87.9167,297.05,71,22,0.65,NP,1621776214
kuala terengganu,5.3302,103.1408,302.12,84,20,1.03,MY,1621776215
boguchany,58.3814,97.4531,281.7,83,100,2.32,RU,1621776217
gerede,40.8008,32.1969,287.69,41,10,5.75,TR,1621776218
rio gallegos,-51.6226,-69.2181,278.18,75,0,5.14,AR,1621776103
paea,-17.6833,-149.5833,296.99,70,0,6.63,PF,1621776220
ruteng,-8.6136,120.4721,291.36,96,91,0.57,ID,1621776222
grand island,40.925,-98.342,293.31,84,100,1.79,US,1621776131
birin,26.8865,88.0718,294.39,69,36,1.04,NP,1621776224
acajutla,13.5928,-89.8275,301.37,69,96,2.11,SV,1621776225
bubaque,11.2833,-15.8333,299.52,71,84,3.43,GW,1621776227
bilbor,47.05,25.5167,293.42,45,38,4.42,RO,1621776228
camana,-16.6228,-72.7111,291.74,76,43,2.8,PE,1621776229
maragogi,-9.0122,-35.2225,300.92,61,3,2.92,BR,1621776231
mandurah,-32.55,115.7,287.71,72,100,10.71,AU,1621776233
zhigalovo,54.8097,105.1578,279.87,60,93,1.16,RU,1621776234
vaitape,-16.5167,-151.75,300.43,72,55,6.5,PF,1621776236
comodoro rivadavia,-45.8667,-67.5,282.07,81,0,0.0,AR,1621776237
mexico,15.0646,120.7198,304.16,68,84,1.08,PH,1621776238
kailua,21.4022,-157.7394,296.56,76,75,5.44,US,1621776067
mabaruma,8.2,-59.7833,299.38,94,99,2.77,GY,1621776241
myski,53.709,87.8014,288.94,91,39,1.76,RU,1621776242
dubti,11.7361,41.0853,313.83,11,99,4.26,ET,1621776243
ulladulla,-35.35,150.4667,287.65,82,78,0.61,AU,1621776245
pitanga,-24.7572,-51.7614,286.98,50,11,3.4,BR,1621776246
batagay,67.6333,134.6333,278.58,41,86,1.46,RU,1621776247
bira,49.0,132.4667,290.69,87,100,0.83,RU,1621776250
sioux lookout,50.1001,-91.917,276.36,87,90,2.57,CA,1621776252
bergen,60.392,5.328,287.68,92,75,3.34,NO,1621776253
pabbi,34.0106,71.7989,304.53,22,87,4.63,PK,1621776255
antalaha,-14.9003,50.2788,299.39,60,28,5.37,MG,1621776257
scottsbluff,41.8666,-103.6672,288.39,89,20,2.24,US,1621776258
salekhard,66.53,66.6019,289.53,43,100,8.15,RU,1621776181
xining,36.6167,101.7667,281.23,68,100,5.14,CN,1621776261
iberia,29.9502,-91.7507,295.98,86,1,4.2,US,1621776262
sibut,5.718,19.0739,304.71,49,87,1.99,CF,1621776263
jonkoping,57.7814,14.1562,285.03,82,75,9.26,SE,1621776265
goderich,43.7501,-81.7165,294.28,82,100,7.2,CA,1621776127
kutum,14.2,24.6667,306.94,8,8,6.03,SD,1621776267
yumen,40.2833,97.2,290.56,16,0,6.02,CN,1621776268
taraz,42.9,71.3667,298.38,36,90,4.0,KZ,1621776270
sao felix do xingu,-6.6447,-51.995,301.72,64,94,1.49,BR,1621775986
pangody,65.85,74.4859,288.96,49,100,5.06,RU,1621776273
quang ngai,15.1167,108.8,299.81,90,53,1.58,VN,1621775994
koscian,52.0883,16.6487,291.29,67,100,6.05,PL,1621776277
constitucion,-35.3333,-72.4167,283.03,70,0,3.37,CL,1621776278
alyangula,-13.8483,136.4192,295.08,75,73,5.33,AU,1621776279
dunedin,-45.8742,170.5036,283.04,83,99,2.24,NZ,1621776098
kongoussi,13.3258,-1.5347,312.14,23,11,3.19,BF,1621776023
oussouye,12.485,-16.5469,308.25,36,70,4.64,SN,1621776283
mazatlan,23.2167,-106.4167,295.88,89,75,0.89,MX,1621775921
safford,32.834,-109.7076,287.63,14,1,0.0,US,1621776285
mayo,38.8876,-76.5119,300.92,58,40,1.79,US,1621776286
kahului,20.8947,-156.47,296.95,84,20,3.6,US,1621776001
oxapampa,-10.5775,-75.4017,290.07,83,36,0.59,PE,1621776188
boa vista,2.8197,-60.6733,302.14,70,75,6.69,BR,1621776291
kaeo,-35.1,173.7833,286.11,81,100,6.57,NZ,1621776292
tokat,40.4167,36.5833,279.17,92,100,0.7,TR,1621776294
tocopilla,-22.092,-70.1979,292.31,62,100,1.44,CL,1621776113
merritt island,28.5392,-80.672,299.85,58,1,1.79,US,1621776050
san pedro,14.35,121.0167,303.72,75,40,3.18,PH,1621776297
carutapera,-1.195,-46.02,301.73,76,13,3.5,BR,1621776298
itoman,26.1247,127.6694,300.58,100,40,4.12,JP,1621776300
bonthe,7.5264,-12.505,303.94,64,93,3.41,SL,1621776301
bathsheba,13.2167,-59.5167,300.89,72,29,9.23,BB,1621776304
sept-iles,50.2001,-66.3821,281.62,72,75,4.92,CA,1621776303
launceston,-41.45,147.1667,280.46,87,40,0.34,AU,1621776306
oranjemund,-28.55,16.4333,299.57,26,0,3.28,NA,1621776308
sur,22.5667,59.5289,311.51,31,0,4.42,OM,1621776310
puerto carreno,6.189,-67.4859,301.63,71,96,1.1,CO,1621776311
cartagena,10.3997,-75.5144,301.94,89,40,1.54,CO,1621776216
barcelos,41.5388,-8.6151,293.86,50,6,5.64,PT,1621776313
asau,46.4333,26.4,297.57,49,100,0.72,RO,1621776315
nampula,-15.1165,39.2666,294.12,78,75,2.57,MZ,1621776317
key west,24.5557,-81.7826,299.15,65,20,5.66,US,1621776047
broken hill,-31.95,141.4333,286.99,51,99,4.12,AU,1621776319
pangai,-19.8,-174.35,299.33,83,14,5.86,TO,1621776321
porto santo,33.072,-16.3415,294.36,40,20,6.69,PT,1621776323
korla,41.7597,86.1469,298.06,15,4,1.68,CN,1621776029
shenjiamen,29.9576,122.298,292.29,95,100,5.29,CN,1621776325
ayolas,-27.4,-56.9,286.57,62,0,5.35,PY,1621776327
varadero,23.1536,-81.2514,299.57,54,54,6.82,CU,1621776328
thunder bay,48.4001,-89.3168,279.98,76,75,6.69,CA,1621776286
mangrol,21.1167,70.1167,303.45,69,43,5.12,IN,1621776330
tamandare,-8.7597,-35.1047,301.4,56,5,3.05,BR,1621776332
gubkinskiy,64.434,76.5026,287.38,69,100,10.7,RU,1621776333
rantauprapat,2.1,99.8333,298.79,90,38,1.0,ID,1621776334
fort stewart,31.8722,-81.61,297.61,68,1,2.57,US,1621776336
ternate,0.8,127.4,300.69,77,100,1.08,ID,1621776338
rubtsovsk,51.5,81.25,299.18,35,47,2.63,RU,1621776339
atherton,53.5237,-2.4935,287.16,78,100,6.45,GB,1621776341
luis correia,-2.8792,-41.6669,304.15,66,20,6.69,BR,1621776342
lata,40.1629,-8.3327,295.77,38,5,5.99,PT,1621776343
belyy yar,53.6039,91.3903,287.09,76,40,5.29,RU,1621776344
bontang,0.1333,117.5,298.24,84,100,2.85,ID,1621776347
ozinki,51.1786,49.6769,307.9,19,100,7.77,RU,1621776349
harper,4.375,-7.7169,302.25,73,94,2.38,LR,1621776062
ahipara,-35.1667,173.1667,287.64,77,100,7.53,NZ,1621776353
gomel,52.4345,30.9754,293.62,39,75,6.68,BY,1621776354
quelimane,-17.8786,36.8883,298.12,73,75,3.6,MZ,1621776355
yerbogachen,61.2767,108.0108,281.76,45,66,1.24,RU,1621776357
copiapo,-27.3667,-70.3333,279.98,12,99,1.0,CL,1621776122
the pas,53.8251,-101.2541,279.16,79,1,2.86,CA,1621776359
progreso,21.2833,-89.6667,298.21,80,100,5.31,MX,1621776360
aranos,-24.1333,19.1167,297.79,13,0,5.61,NA,1621776362
kirakira,-10.4544,161.9205,299.29,88,100,2.64,SB,1621776363
matara,5.9485,80.5353,300.01,87,100,5.28,LK,1621776364
taoudenni,22.6783,-3.9836,315.68,11,0,0.86,ML,1621776366
jijiga,9.35,42.8,302.09,11,77,7.74,ET,1621776367
kincardine,56.0667,-3.7167,286.3,85,100,5.7,GB,1621776368
ladispoli,41.9537,12.0735,298.56,77,89,6.6,IT,1621776369
aban,56.67,96.06,281.76,88,100,2.96,RU,1621776371
scarborough,54.2797,-0.4044,286.39,71,100,2.24,GB,1621776179
pucara,-15.9803,-71.4606,278.22,21,11,1.67,PE,1621776375
isperih,43.7167,26.8333,298.67,43,97,2.24,BG,1621776376
yertsevo,60.7966,40.086,290.75,69,87,2.84,RU,1621776378
morbegno,46.1383,9.57,297.93,51,77,2.01,IT,1621776379
karachi,24.9056,67.0822,307.05,46,20,5.66,PK,1621776081
novosheshminsk,55.0651,51.2338,296.3,76,99,7.13,RU,1621776381
ambulu,-8.345,113.6058,297.99,87,15,0.81,ID,1621776383
baykit,61.67,96.37,280.57,93,100,1.75,RU,1621776385
morehead,37.2711,-87.1764,296.48,79,1,0.0,US,1621776388
teruel,40.6667,-0.6667,284.13,68,100,2.12,ES,1621776389
antofagasta,-23.65,-70.4,288.75,67,75,0.96,CL,1621776390
nishihara,26.1842,127.7558,300.18,92,75,3.54,JP,1621776391
santa barbara,34.7333,-120.0343,279.81,58,90,1.91,US,1621776393
srednekolymsk,67.45,153.6833,279.48,57,9,4.55,RU,1621776394
hualmay,-11.0964,-77.6139,291.16,86,68,2.0,PE,1621776395
yar-sale,66.8333,70.8333,290.79,36,38,7.11,RU,1621776397
guaruja,-23.9931,-46.2564,301.07,54,0,3.09,BR,1621776398
mehamn,71.0357,27.8492,276.44,50,37,4.38,NO,1621776399
katherine,-14.4667,132.2667,295.33,59,6,3.07,AU,1621776400
guamuchil,25.4667,-108.1,293.64,64,23,0.99,MX,1621776303
jizan,17.3333,42.6667,309.67,25,70,6.78,SA,1621776403
maroua,10.591,14.3159,312.88,16,97,3.98,CM,1621776200
shirokiy,49.758,129.523,284.56,87,100,4.34,RU,1621776406
