City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
dobson,36.3957,-80.7226,298.86,53,47,2.44,US,1621775738
kijang,35.2442,129.2139,296.0,67,100,3.4,KR,1621775739
miami,25.7743,-80.1937,299.83,63,40,1.34,US,1621775085
westfield,42.1251,-72.7495,299.33,69,75,2.68,US,1621775641
lavrentiya,65.5833,-171.0,270.4,95,99,1.45,RU,1621775743
faanui,-16.4833,-151.75,300.43,72,59,6.51,PF,1621775744
ivolginsk,51.7492,107.2837,279.96,52,20,2.31,RU,1621775746
beyneu,45.3167,55.2,307.39,12,0,8.98,KZ,1621775748
port hardy,50.6996,-127.4199,282.15,100,75,1.54,CA,1621775728
upernavik,72.7868,-56.1549,270.41,82,96,1.32,GL,1621775750
fairbanks,64.8378,-147.7164,278.2,89,90,3.09,US,1621775748
araouane,18.9048,-3.5265,316.23,9,84,5.86,ML,1621775753
caronport,50.4501,-105.8179,281.31,77,100,4.7,CA,1621775755
thompson,55.7435,-97.8558,279.26,60,15,3.36,CA,1621775605
dwarka,22.2394,68.9678,303.87,67,1,5.57,IN,1621775757
sao joao da barra,-21.6403,-41.0511,299.77,61,100,4.17,BR,1621775522
katsuura,35.1333,140.3,293.23,89,100,4.04,JP,1621775760
pitimbu,-7.4706,-34.8086,302.48,64,17,5.81,BR,1621775761
olutanga,7.3106,122.8464,302.02,75,14,4.99,PH,1621775762
tasiilaq,65.6145,-37.6368,274.24,86,100,1.61,GL,1621775764
soubre,5.7856,-6.6083,308.82,41,92,1.19,CI,1621775765
reyes,-14.3167,-67.3833,294.69,99,100,1.94,BO,1621775766
imbituba,-28.24,-48.6703,295.09,59,11,2.06,BR,1621775767
barrow,71.2906,-156.7887,272.16,86,90,7.72,US,1621775769
mar del plata,-38.0023,-57.5575,287.04,42,90,7.15,AR,1621775770
winnemucca,40.973,-117.7357,278.18,95,90,3.16,US,1621775598
broome,42.2506,-75.833,297.35,88,75,0.89,US,1621775772
chokurdakh,70.6333,147.9167,271.58,90,100,1.86,RU,1621775774
